symbol,name,exchange,currency,date,open,high,low,close,volume,available_at
NVDA,NVDA Inc,NASDAQ,USD,2024-01-20,107.80,109.80,106.80,108.80,5000000,2024-01-20T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-21,107.00,109.00,106.00,108.00,5000000,2024-01-21T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-22,108.50,110.50,107.50,109.50,5000000,2024-01-22T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-23,107.70,109.70,106.70,108.70,5000000,2024-01-23T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-24,109.20,111.20,108.20,110.20,5000000,2024-01-24T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-25,108.40,110.40,107.40,109.40,5000000,2024-01-25T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-26,109.90,111.90,108.90,110.90,5000000,2024-01-26T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-27,109.10,111.10,108.10,110.10,5000000,2024-01-27T21:00:00Z
NVDA,NVDA Inc,NASDAQ,USD,2024-01-28,110.60,112.60,109.60,111.60,5000000,2024-01-28T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-02,451.50,453.50,450.50,452.50,5000000,2024-01-02T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-03,450.70,452.70,449.70,451.70,5000000,2024-01-03T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-04,452.20,454.20,451.20,453.20,5000000,2024-01-04T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-05,451.40,453.40,450.40,452.40,5000000,2024-01-05T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-06,452.90,454.90,451.90,453.90,5000000,2024-01-06T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-07,452.10,454.10,451.10,453.10,5000000,2024-01-07T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-08,453.60,455.60,452.60,454.60,5000000,2024-01-08T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-09,452.80,454.80,451.80,453.80,5000000,2024-01-09T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-10,454.30,456.30,453.30,455.30,5000000,2024-01-10T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-11,453.50,455.50,452.50,454.50,5000000,2024-01-11T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-12,455.00,457.00,454.00,456.00,5000000,2024-01-12T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-13,454.20,456.20,453.20,455.20,5000000,2024-01-13T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-14,455.70,457.70,454.70,456.70,5000000,2024-01-14T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-15,454.90,456.90,453.90,455.90,5000000,2024-01-15T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-16,456.40,458.40,455.40,457.40,5000000,2024-01-16T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-17,455.60,457.60,454.60,456.60,5000000,2024-01-17T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-18,457.10,459.10,456.10,458.10,5000000,2024-01-18T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-19,456.30,458.30,455.30,457.30,5000000,2024-01-19T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-20,457.80,459.80,456.80,458.80,5000000,2024-01-20T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-21,457.00,459.00,456.00,458.00,5000000,2024-01-21T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-22,458.50,460.50,457.50,459.50,5000000,2024-01-22T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-23,457.70,459.70,456.70,458.70,5000000,2024-01-23T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-24,459.20,461.20,458.20,460.20,5000000,2024-01-24T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-25,458.40,460.40,457.40,459.40,5000000,2024-01-25T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-26,459.90,461.90,458.90,460.90,5000000,2024-01-26T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-27,459.10,461.10,458.10,460.10,5000000,2024-01-27T21:00:00Z
SPY,SPY Inc,NASDAQ,USD,2024-01-28,460.60,462.60,459.60,461.60,5000000,2024-01-28T21:00:00Z
